Year,GDP
2000,7253.095587067456
2001,7042.9092861652125
2002,7408.406595263477
2003,8455.308320592096
2004,9612.468059588156
2005,10249.153614232722
2006,10488.687791652817
2007,11713.99151788354
2008,12308.260883307219
2009,11318.068038466912
2010,12222.4757144
2011,13443.9434563
2012,14004.79655905
2013,14337.91536975
2014,14464.4605233
2015,13521.152374549998
2016,13789.7438459
2017,14730.779996000001
2018,15072.664400900001
2019,14836.00927835
2020,13993.6228939
2021,14926.747623991547
2022,15026.435487120354
