,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Central and Southern Asia,716.0653862153748,798.6725293940477,814.65217825,953.58258855625,1126.9537807,1265.012312225,1551.39368835,1909.62158348125,2289.9180303375,2234.55961665625,2635.4010491375,3127.5146902875,3284.4893304625,3382.3153303625,3437.9928499,3218.6241048625,3143.42586135625,3377.86464481875,3374.08219709375,3424.38388144375,3009.081970425,3519.48245359375,3876.897773699525
Eastern and South-Eastern Asia,7963.044220152631,7431.53092803158,7540.0727187,8055.614928068421,9087.666104921052,9905.265343178948,10895.48712006842,12100.505039957894,13050.92918153158,12357.145644863158,14685.51110025263,17246.301796478947,18221.726680294734,18707.160199,18978.07905731579,17250.342518947367,17422.758695894736,18522.55067531579,19887.67397826316,19818.26165989473,16734.46989005263,19126.93076389474,18696.12401857895
Europe and Northern America,18742.675751072657,18986.74453641459,20634.941572210973,24590.673474467243,28120.814492628066,29820.667619727552,32448.613220955067,37832.1060525574,40828.20359162008,36024.02645585538,36255.81676249841,39104.74029667187,37173.07597813002,39380.00605780528,40621.352252987606,36614.43873589672,37359.65127201725,39227.02241093104,42027.05727263793,41517.53627627586,40181.00547732759,46518.79870619818,46836.05862391875
Latin America and Caribbean,6178.751590224323,6376.37823812227,6503.859554570888,6818.575760035707,7634.241776537638,8881.23072539823,10614.759582807144,11493.875852497618,12192.747425785716,11312.46781642857,11873.5622495,12500.438735761903,12769.623498690476,12959.383790833332,13240.150571833334,13172.581702380034,13198.64942487256,13715.904404051222,14061.448732647554,14295.956243853068,12505.71501756897,13842.100872492834,15663.25606927266
Northern Africa and Western Asia,6664.571026767857,6370.755479921429,6383.838022439285,7160.477980942857,8371.633705867856,9889.198015039286,11104.61384122857,12142.128558003573,14453.83434425,11701.544228928571,13110.012081785711,14723.620853857145,15429.151701214289,15291.995667017856,14872.594514607144,12243.994455753573,11798.839385014286,12458.441300142858,13383.630097721429,13169.366421725,11493.193149057142,13512.552576139287,15957.48877881788
Oceania,7253.095587067456,7042.9092861652125,7408.406595263477,8455.308320592096,9612.468059588156,10249.153614232722,10488.687791652816,11713.99151788354,12308.26088330722,11318.068038466912,12222.4757144,13443.9434563,14004.79655905,14337.91536975,14464.4605233,13521.152374549998,13789.7438459,14730.779996,15072.6644009,14836.00927835,13993.6228939,14926.747623991549,15026.435487120354
Sub-Saharan Africa,949.03033590618,926.0915140040815,973.2565449693876,1166.9436543959182,1416.0744162224491,1648.6790658571429,1820.2437838142855,2046.4431704877552,2328.118374697959,2066.823146942857,2310.2990515183674,2639.13802694898,2632.0111483918367,2695.201474467347,2707.7139157795923,2270.6991062918364,2178.282686477551,2324.6566401673467,2484.7110425571427,2406.0494794448978,2092.1417213591835,2362.8060434714284,2446.4193018265305
Various,4645.33048685238,4575.984555038095,4738.270386628572,5304.134727985715,5966.020306514286,6454.3108603,6965.53115772381,7797.062624880952,8551.53867572857,7904.147158623808,8561.723887657143,9429.724444633332,9543.779121614283,9722.021283538095,9896.980930004762,9096.478662819049,9117.914397209524,9599.688488261903,10136.957084209524,10167.1527257,9693.446624042856,10984.822955238094,11479.697527880951
World,5517.121715,5410.749791,5545.61076,6138.110737,6829.846305,7303.74346,7816.391751,8700.587475,9443.240891,8842.426339,9570.618407,10485.49418,10587.93714,10749.96067,10911.12712,10168.12454,10215.58544,10754.92975,11297.4524,11338.15032,10904.14761,12316.10246,12687.74189
